Лагман с говядиной, 320 г	Лагман немного не такой как на фото, попроще и много картошки. Но за свою цену по скидке очень сытно и полезно, понравилось
Курица «Карри» с рисом	Очень вкусный вариант обеда или ужина! В меру соли, не слишком много курицы. И, хотя я не фанат риса, сочетание курицы, риса с кокосовым молоком и карри очень «зашло».
Не «мясная» пита в белом	Очень вкусно ! Рекомендую
Бургер с говядиной «Капрезе»	Отличный,без чистика
Хот-Дог Классический	Невкусный.
Крок Месье	Вкусно как дома
Бургер «Сочная цыпа»	Отвратительный
Хот-Дог Классический	Очень вкусный хот дог! Напоминает мои любимые хот-доги, которые продавались в икее!
Не «мясная» пита в белом	Очень вкусная и сытная.
Блинчики «Рататуй»	Очень вкусно! И тесто, и начинка - супер!👍
Каша овсяная с бананом и голубикой	Очень вкусная, сытная каша! Рекомендую!!!
Курица «Карри» с рисом	На карри мало похоже, просто курица с соусом и овощами, привезли в контейнере, запечатанном плёнкой, как будто не готовили, а разогрели просто, но даже то, что должно было «прийти горячим» пришло ледяным
Харчо с говядиной, 300 г	Очень вкусный,слегка остренький, хорошие куски говядины,буду брать еще)
Панкейки банановые с клубникой и сгущенным молоком	Хорошо. Сгущёнки действительно мало, клубники и бананов чуть меньше, чем на изображении. В целом, панкейки мягкие и вкусные.
Колбаска «Баварская» (1 шт.) на шпажке с картофельным пюре	Пюре чуть суховатое, но вполне достойное. Колбаска вполне себе, особенно с соусом. Порция большая.
Гречка с говядиной в сливочном соусе	По отдельности гречка и немного мяса приготовлены хорошо. Но количество лука, превышающее в два раза объем мяса делает блюдо не привлекательным к употреблению. Лук нашинкован как капуста, длинные, бесконечные волокна от тонких до 2 см в ширину.
Большая порция сырников творожных со сметаной и малиновым вареньем	Просто потрясающие сырники! Сразу выбрала любимым 😍
Вок с овощами	Не рекомендую. Лапша слиплась, овощи пересоленные, а мне ещё и с несколькими кусочками курицы привезли.
Картофельная вафля с беконом и яйцом	Очень вкусно, сытно и достаточно сбалансировано
Клаб-сэндвич	Очень вкусный сэндвич. Но есть действительно не очень удобно.
Круассан с лососем и сливочным сыром	Сам круассан слабоват, «неправильный», сладость лишняя. Но в целом было вкусно
Блинчики с курицей и сметаной 	Сытные и вкусные
Каша пшенная с тыквой и беконом	Ужасно кисло.
Сырники с малиной и сметаной	Сырники очень нежные теплые вкусные. жаль что мало... И цена кусачая
Лазанья Болоньезе	Очень вкусная лазанья. Намного вкуснее мясной лазаньи, которая тоже тут представлена.
Салат куриный BBQ	Когда брала первый раз, приехал салат прекрасного качества со свежими овощами. Сейчас неприятно на него смотреть, помидоры вялые, салат где-то подгнивший, просто впечатление не очень. Последний раз выкинула поклевав пару свежих листьев. А соус не стала вообще лить, какой то кислый запах
Круассан с лососем и сливочным сыром	Круассан обычный, ничего особенного. Неоправданно дорого стоит, внутри был небольшой кусок рыбы и в основном сыр с зеленью. За такую сумму можно было сделать более сытный круассан. В чат пришлю фото
Котлета из щуки (1 шт.) с картофельным пюре	Вкусно, для тех кто любит рыбную котлету. Картофельное пюре тоже вкусное.
Борщ с мраморной говядиной	Обычно борщ привозят в круглой баночке, он густой и наваристый. А это НЕЧТО! Пол стакана подкрашеной воды в которой плавает три кусочка мяса.
Блинчики «Рататуй»	Божественные блинчики!
Салат куриный BBQ	Салат сочный, свежий, курица отлично приготовлена. Порция приличная.
a.py	all_data.append((product_name, line.strip().strip("\"")))
Хот-Дог Классический	Что это было? 200 р за что?! Ужас. Огорчена.
Суп-крем тыквенный, 320 г	Первый раз столкнулась с невкусным продуктом во ВкусВилле(( суп как перетертая тыква, ни солёный, ни пряный, никакой. Выкинула(
Драники картофельные с цукини и соусом	Вкусные
Вок с курицей	Вкусная лапша и свежая,немного осторовата
Суп «Рассольник» курицей, 300 г	👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽👍🏽
Суп Солянка сборная с каперсами	Очень странный вкус. Это не солянка.
Деревенский завтрак	Вкусно, сытно!!Но много соли
Каша рисовая с бананом и персиком	Вообще не вкусная каша
Салат с северной креветкой и авокадо	Салат отличный, очень понравилось
Картофельная вафля с беконом и яйцом	Очень вкусно и сытно! Очень жаль, что редко бывает(Привозите,пожалуйста, побольше :)
Гранола «Ореховая» с персиком и малиной	Потрясающая, очень вкусная. Йогурта для меня много, поэтому сразу все не перемешиваю
Салат с бужениной	Очень вкусный салат
Каша рисовая с бананом и персиком	Каша раньше была вкуснее. Второй раз покупаю и сожалею. Больше брать не буду.
Хот-Дог Суздальский	Ну так себе.Привозят уже холодное конечно.
Сырники с малиной и сметаной	Сырники очень вкусные, привезли свежие, еще теплые, было бы побольше сметаны цены бы им не было
Бургер «Сочная цыпа»	Бергер ужасный на вкус! Не смогла доесть до конца.
Блинчики с печенью и яйцом	Тончайшие сладкие блинчики, нежная начинка! Восторг!
Не «мясная» пита в белом	Привезли без соуса. Сложно оценить вкус без такого важного ингредиента. В целом сытно, спасибо, что вернули деньги.
Вок с говядиной	Переваренная лапша политая пересоленным соусом
Чай «Апельсин - Облепиха», 300 мл	В целом вкусно, но идею накидать косточек от облепихи я не поняла.
Суп-пюре из цветной капусты с сыром	Просто Мега соленый 😁 из-за количества соли его можно есть как соус🙈
Картофельная вафля с беконом и яйцом	Очень мало бекона, соус не вкусный
Вареники с картофелем и грибами, 245 г	Вкусные вареники, тонкое тесто, много начинки. Но мало сметаны и зачем-то добавлены чипсы. Я бы сделала порцию сметаны больше вместо чипсов
Бургер с говядиной «Капрезе»	Невозможно купить, почти все время нет а наличии и так уже месяц
Блинчики с творогом	вкусные блинчики
Картофельная вафля с беконом и яйцом	Невероятно вкусно !!!🤤
Набор: Суп куриный + Паста «Карбонара»	суп переваренный
Не «мясная» пита в красном	Очень сочно и вкусно, но белая понравилась чуть больше, тк в ней соуса побольше было. А так супер!❤️
Большая порция сырников творожных со сметаной и малиновым вареньем	Уже второй раз попадаются сырники с малиновой начинкой, сами сырники и так сдишком приторные так еще и малину туда добавили и положили по ошибки или может у них не хватало обычных, я обычные заказывала. Уменьшите количество сахара, не возможно есть. Буду переходить на другой магазин, продукты во вкусвилле мне не нравятся. Пакеты постоянно узлами завязывают, а кто будет оплачивать испорченный маникюр из-за развязывания ваших туших узлов на пакетах? Во первых пакет платный, во вторых и так много пластика вокруг, давайте хотя бы использовать их под мусор, но от тяжести узлы завязываются слишком крепко. Что сложного в том чтобы скреплять пакет стикером?
Сырники с малиной и сметаной	Сметану не нашла
Набор: Суп куриный + Паста «Карбонара»	Не вкусно. В супе не бульон, а вода от варки грудки, лапша вся развареная, кусочков курицы достаточно. В пасте вкусные только макароны, обычные спагетти, бекон на фото нормального цвета, по факту серый, сливочный соус -это плавленый сыр, который перебивает весь вкус. Порции большие
Вок с курицей	Ужасно. Это не вок. Арахис я вообще не обнаружила. Лапша переварена. Это было похоже на макароны с овощами. Выбросила полный лоток. Есть нельзя(
Салат с бужениной	От картинки сильно отличается, но все равно хороший салат. Много перца, буженины и соленого огурчика.
Блинчики «Рататуй»	Мне очень понравился, со сметаной супер)
Сырники с вишней и сметаной	Привезли холодные и без сметаны
Набор: Суп куриный + Паста «Карбонара»	Верните набор борщ+ пюре с котлетой
Не «мясная» пита в красном	Долго выбирала по отзывам между белым и красным соусом, а соуса в пите и не оказалось. В самом конце совсем немного. Из-за этого пита очень сухая.
Салат с лососем, свежими овощами и печеным перцем	Я бы заменил заправку на какую нибудь медово-горчичную. Мне блюдо показалось слабоватым. Максимум трояк.
Бургер куриный «Цезарь»	Заказывала для коллеги, она не особо впечатлилась, сказала что похоже на шаурму/салат в булке, который забыли посолить))
Бургер с говядиной «Капрезе»	Хотелось бы говяжий Бургер из вашей кухни, но чтобы без песто и бекона ( свинина не для всех) а песто в бургере очень на большого любителя
Блинчики с печенью и яйцом	Ни мне, ни мужу жутко не понравились. Оттолкнуло до тошноты сочетание печени с осень сладким блином. Яйцо вообще не чувствуется. И печень, по-моему с потрошками перемолота. Чуть не стошнило, выкинули.
Английский завтрак	Это просто безобразие со стороны тех, кто готовит! Ни один раз заказываю данный продукт и всегда без каких либо недостатков было. Сегодня решила заказать и что по итогу, полностью отсутствует сходство с прежнем и составом! 1-Полностью отсутствовало яйцо.2-За место колбасок положили обычные сосиски да еще и в ПЛЁНКЕ!!! Это сверх безобразие! 3-Вафля картофельная подгоревшая! Я искренне разочарована и вроде был момент когда так же путали и не докладывали, но чтоб так нагло игнорировали состав продукта! Разберитесь со своей работой уже!
Картофельные дольки с сырным соусом	Ужасные. Недожаренные, бледные, не свежие и невкусные. Ничего общего с фото.
Большая порция сырников с малиной	Оооочень вкусные) привезли вечером теплые что очень обрадовало) спасибо )
Каша овсяная с бананом и голубикой	Ни разу не приехала не то что горячей, хотя бы очень тёплой. Какой смысл делать раздел ""горячая еда"", если приезжает все равно той же температуры,что и просто ""готовая"".
Бургер с говядиной «Капрезе»	Безумно не вкусный, не свежий, булка сухая, не сочный, соуса мало,
Хот-Дог Классический	Очень сухой
Большая порция сырников творожных со сметаной и малиновым вареньем	Самые любимые, очень вкусные 🙏
Гранола с голубикой, клубникой и йогуртом	Вкусно, полезно, сытно, красиво.
Рис с курицей и овощами	Очень вкусно.
Бургер Богатырь	Не советую. Огромная булка, маленькая котлета. Старый, невкусный салатный лист.Искала перец- не нашла.
Паста «Болоньезе», 290 г	безумно вкусная паста!!!!!!🥰
Куриная грудка запеченная с моцареллой, песто и томатами	Очень понравилось блюдо, удачное сочетание продуктов, не жирное и не пресное.
Перепече с курицей и грибами	Неплохо, хоть и суховато, только и на запах, и на вкус как рыбная котлета.
Хот-Дог Классический	Вкусный!
Картофельная вафля с лососем и яйцом	Вкусная, но суховата
Салат с томатами черри и мини моцареллой	Любимый салат! Руккола свежая, черри сладкие, всё сбалансировано и очень вкусно
Салат куриный BBQ	Твердые холодные куски грудки
Салат Цезарь с куриной грудкой гриль	До Цезаря этому салату далеко. Три сухарика, три кислых помидорки и огромно нарезанное мясо, отсутствие сыра
Крок Месье	На любителя
Блинчики с вареной сгущенкой	Ну так себе, были максимально пережаренные
Лагман с говядиной, 320 г	Это безумно вкусно!!! Вкус яркий , насыщенный. Лапша не большая и не жёсткая.
Набор: Крем-суп грибной + Гречка с говядиной в сливочном соусе	Один из моих любимых обедов. Но в этот раз не положили сухарики.
Гранола с голубикой, клубникой и йогуртом	Вкусненький йогурт, но только для любителей натурального кисленького йоруга. Для меня не хватило сладости. Ягод было много, все свеженькое.
Большая порция сырников творожных со сметаной и малиновым вареньем	Редко оставляю отзывы, но сегодня мне привезли обалденные сырники! Спасибо смене, которая сделал круто) Надеюсь в следующий раз будет также вкусно ^=^
Вареники с картофелем и грибами, 245 г	С картофелем были только две или три штуки, остальные с творогом, еще и не вкусные. Это было ужасно: те, что с творогом, снаружи были обмазаны картофелем от остальных вареников, тесто тоже было странное.
Бургер Богатырь	Бургер сегодня отличный!
Не «мясная» пита в красном	Нет ни перца, ни лука маринованного
Суп-крем тыквенный, 320 г	Реально ооочень вкусно;)) Если вы любите тыквенный суп в принципе)Негативные отзывы вызывают недоверие (м б это от конкурентов?;)?
Фасоль с арахисом	Очень вкусная фасоль, но последнее время стали класть меньше арахиса🥲
Суп-крем тыквенный, 320 г	Очень вкусный , лёгкий
Блинчики с печенью и яйцом	Вкусные мне понравились. Суховаты, но это лучше, чем бы плавали в жиру. Было бы здорово, если была возможность заказать сразу большую порцию.
Сырники с малиной и сметаной	Вкусные. Но 1 сырник из 4-х был без малины внутри
Рис с курицей и овощами	В целом нормально , но очень солёный рис, видимо он в соевом соусе. На любителя.
Круассан с лососем и сливочным сыром	Не понравился
Суп Куриный, 300 г	Очень сольный и лапша разваренная(
Хот-Дог Классический	Горелый, сухой и холодный Сосиска ничего, но в целом ужасно просто.
Хот-Дог Классический	Самый ужасный хот-дог, он не стоит этих денег, сосиску положили в заводской упаковке, на вкус как подошва, на упаковке написано «осторожно, горячо», на самом же деле он сухой, как будто провалялся непонятно где, видела отзывы и рискнула взять, очень пожалела
Крок Мадам	Вкусно. Вот только любопытно, что яйца у крок мадам, а не у крок месье. Но это вопрос к французам)))
Колбаска «Баварская» (1 шт.) на шпажке с картофельным пюре	Колбаса соленоватая, а так вкусно.
Большая порция сырников творожных со сметаной и малиновым вареньем	Блюдо прекрасное, лучшие сырники из всех! Но, пожалуйста, не кладите внутрь одноразовые приборы, никому они не нужны, только перевод ресурсов.
Каша пшенная с тыквой и беконом	выглядела непритязательно, но оказалась оч вкусной
Не «мясная» пита в белом	Сейчас приезжает просто идеально вкусная пита. Все овощи есть, соус есть, супер сочетание продуктов, сытно, полезно🤤
Суп «Рассольник» курицей, 300 г	Можно покупать.
ПАПА Бургер	Не впечатлил , не купила бы повторно
Большая порция сырников творожных со сметаной и малиновым вареньем	Очень нежные и вкусные сырники, как буд то бы не из творога, а из йогурта сделаны. Супер
Курица «Карри» с рисом	Рис был переварен
Круассан с ветчиной и сыром, 160 г	Возьмите лучше бургер из вкусвилла, х10 будет лучше Не советую пробовать
Паста «Фетучини» с курицей и соусом «Песто»	Вкусная паста
Крок-Бекон	Вкусный. Понравился. Но бекона на фото гораздо больше)
Драники картофельные с цукини и соусом	Пересоленные очень, половина пережаренная, сухие. Расстроилась, так очень люблю драники с цукини
Суп-пюре с грибами, 320 г	Вкусный  очень
Мама бургер с голубым сыром и вишневым вареньем	Раньше был лучше. Сейчас котлета с вареньем в булке, никакого сыра или еще чего-либо полезного не было. Зато была вишневая косточка.:(
Большая порция сырников творожных со сметаной и малиновым вареньем	Это самые вкусные сырники из тех, которые я вообще пробовала. А пробовала я совершенно в разных ресторанах и городах. Видимо, в нашем магазине у повара золотые руки. ❤️ Спасибо за горячий и такой вкусный завтрак! 👍🏻
Вок с морепродуктами	Картинка отличается от привезённого блюда.Морепродукты практически отсутствуют, сплошная пережаренная морковь и лапша.Не рекомендую!!!
Бургер «Сочная цыпа»	Не сочная а именно водянистая котлета и сам бургер ну так, второй раз не возьму. И уж точно не стоит своих денег. Попалась маленькая косточка.
Блинчики с курицей и сметаной 	сухой не вкусный фарш, пахнет жиром, блины резиновые
Мама бургер с голубым сыром и вишневым вареньем	Приехал горячим. Очень вкусный. Помягче бы булочку и шикардос
Крок-Бекон	Вкусно… очень много бекона … не идеально ,конечно… но вкусно
Клаб-сэндвич	Отличный сэндвич, самый любимый мой
Набор: Суп грибной + Котлета «Домашняя» с картофельным пюре	Суп съедобный, а второе треш, котлека мизерная да ещё и кислая, картошка порошковая, просто отвратительная. Второе все ушло в помойку.
Крок-Бекон	Привезли не горячим, а едва тёплым, т. к. у курьера до визита ко мне было несколько других заказов, ну да подогреть дома - не проблема. Сэндвич о-очень вкусный, начинки много, сытный, нет ощущения излишней жирности, хотя в составе и сыр, и бекон. Рекомендую.
Фасоль с арахисом	Очень вкусно!!
Не «мясная» пита в красном	очень вкусно! заказывала несколько дней назад, было очень мало начинки, целая котлета. сейчас заказала - котлета порезана, очень много овощей! каждый раз бы так)))
Сырники творожные со сметаной	Вкусные и нежные, берём их для завтрака.
Суп грибной, 300 г	Пустоват, не очень вкусный
Блинчики с вареной сгущенкой	Очень вкусные! Прям прекрасно к черному кофе или крепкому не сладкому чаю. Рекомендую!
Смузи «Малина и Базилик», 300 мл	Банан и яблоко, никакого базилика и малины( **((
Гранола с голубикой, клубникой и йогуртом	После употребления почувствовала боли в желудке, на след день понос. Есть риск что ягода недозрелая, плюс возможно плесень. Лучше готовить самостоятельно!
Сырники с вишней и сметаной	Очень очень вкусные сырники, привезли горячими...ммм...
Круассан с лососем и сливочным сыром	Очень вкусно, но редко бывает в наличии
Суп-крем тыквенный, 320 г	Не вкусный суп. Кроме цвета ничего нет от тыквенного супа. На вкус с какими то приправами которых быть не должно, пахнет как в старом бабушкином шкафу. Не куплю конечно и НЕ СОВЕТУЮ. Смените повара, кормите людей дрянью.К продуктам вопросов нет, но готовая еда отвратительна.
Каша рисовая с бананом и персиком	гениально! в меру сладкая
Сырники с малиной и сметаной	Очень вкусно, привезли горячими в термопакете, респект ВКУСВИЛЛ!
Бургер куриный «Цезарь»	Курица сухая и уже какая-то заветренная, пармезана не было. Привезли уже холодным. Соуса тоже было очень мало. Булка вкусная. Размер отличный
Круассан с ветчиной и сыром, 160 г	Для сравнения в Азбуке дешевле и вкуснее сэндвичи
Кукуруза гриль с сырным соусом	Вкусная, буду еще заказывать. Соус классный, не химический
Вареники с творогом, 265 г	Вареники чудо как хороши- сделаны с любовью👍
Салат с томатами черри и мини моцареллой	Очень вкусный салат. Наверно один из моих любимых во ВкусВилле. Было бы здорово, если бы добавляли больше томатов
Хот-Дог Классический	Холодный, что странно для хот-дога, и булка рассыпается на крошки, ощущение что она лежала не меньше месяца после выпекания, возможно данный тип выпечки непригоден для заморозки, потому что есть ее невозможно, прямо изо рта сыпется
Салат Цезарь с куриной грудкой гриль	отравился
Пельмени с курицей и укропом	*****кусные
Перепече с курицей и грибами	чувствуется яйцо в начинке.. думала будет более нежным и похожем на жульен по консистенции. внутри действительно мокрый, тоже неприятно было есть. больше не закажу, не вкусно … 🥺
Драники картофельные с цукини и соусом	Очень вкусные и сытные!
Соус «Барбекю», 30 гр.	Вкусный соус, к мясу самое то
Вок с курицей	Лапша разваренная, курицы 2 кусочка было. Не понравилось
Суп-гуляш с говядиной, 300 г	Ужас
Гранола «Ореховая» с персиком и малиной	Просто обалденная!
Бургер «Сочная цыпа»	Сочная цыпа - оказалась совсем не сочной 😄 Обманули получается
Не «мясная» пита в красном	Очень плохо. Продукт испортили. Соуса нет, пита твердая. Второй раз подряд так.
Суп-гуляш с говядиной, 300 г	Горячая еда? Привезли холодным !
Не «мясная» пита в белом	Очень приятно, что поменяли соус! Оба варианта питы нравятся, но в красном наверное чуть больше. Вкусвилл спасибо вам, жду больше веганских горячих блюд 
Большая порция сырников с малиной	Берём уже третий раз. Очень мягкие, вкусные. Всегда приходят теплые, за что отдельное спасибо сборщикам! Рекомендую)
Сырники с вишней и сметаной	Очень вкусные. Но дорого, конечно
Щи с мраморной говядиной, 300 г	Только сейчас посмотрела в составе грибы ! Почему то в моей тарелке была одна капуста .
Котлета из щуки (1 шт.) с картофельным пюре	Пюре из картофельных хлопьев. Котлета тоже невкусная, перемороженная и безвкусная
Гранола с голубикой, клубникой и йогуртом	Почему нет в наличии???жалко что убрали из ассортимента
Вок с овощами	Вкусно
Плов по-узбекски с говядиной	Отвратительный. Ушёл в помойку.
Суп Куриный, 300 г	Ребёнок в восторге от этого супа. А ее очень трудно накормить.
Куриный шницель запеченный под сыром с картофелем-мини	мясо немного суховато, всё остально ок
Хот-Дог Классический	Ммм, вкусновое 😋
Круассан с лососем и сливочным сыром	Все на 4-3, и свежесть рыбы и зелени, и мягкость круассана. Во ВВ все по отдельности есть в более приятным исполнении. Хорошо, что со скидкой взяла, иначе бы огорчилась
Панкейки банановые с клубникой и сгущенным молоком	Вкусные,только сгущенки маловато
Крок Месье	Очень вкусный. НО заказывала два раза и оба раза пришли уже не теплые...
Набор: Крем-суп грибной + Гречка с говядиной в сливочном соусе	Вместо сухариков накрошили чипсы, и они просыпались по всей упаковке
Шницель куриный с картофельным пюре, 300 г	Во-первых продукт не соответствует фото: отсутствует зелень и зеленые огурчики. Во-вторых, пюре комками, первый раз такое отвратительное попалось. Да и шницель резиновый. В каталоге есть блюда со шницелем и с пюре гораздо вкуснее и дешевле
Крок Месье	Вкусно но приезжает иногда разрезанные, иногда цельные не понятно как принимается решение.
Суп Куриный, 300 г	Сам бульон хороший, но макароны были как переваренная каша.
ПАПА Бургер	К качеству ингредиентов претензий нет, но сочетание странное, с капустой не понравилось
Не «мясная» пита в белом	ВкусВиллчик, спасибо за веганские вкусняшки! Пита вкусная, большая, сытная порция, много овощей, сочная котлета.
Фасоль с арахисом	Очень люблю молодую стручковую фасоль. Арахис терпеть не могу, но тут он вполне уместен. Сготовить можно и самой довольно просто и быстро. Но когда нет времени или не дома - блюдо выручает. Вкусные постные овощи почему-то мало делают.Но! В этот раз, блюдо пришло с подгоревшими частями. Если фасоль ещё ничего, то арахис явно на каком-то много раз использованном масле будто жарили - весь чёрный и в тёмной жиже.
Блинчики с печенью и яйцом	Я не в восторге, но и отвращения нет. Вкус приличный, но суховаты.
Суп-гуляш с говядиной, 300 г	Неплохо. Но все же это не совсем суп-гуляш, как в Венгрии. Не хватает то ли специй, то ли ещё какой-то яркости во вкусе. Повару стоит ещё поразмыслить над рецептом.
Куриная грудка запеченная с моцареллой, песто и томатами	Мое самое любимое горячее во вкусвилл. заказывала раз 50 точно.
Мама бургер с голубым сыром и вишневым вареньем	Привезли бургер, который весь разваленный, весь сыр соус и прочее на бумаге
Бургер с говядиной BBQ	Мне очень понравился вкус бургера, обилие начинки, сочность и прожарка котлеты- в общем, для меня (бургеры я ела и ем крайне редко)- это фаворит! Надеюсь, в следующий раз будет не менее вкусно!
Котлета из щуки (2 шт.) с картофельным пюре	Очень вкусно, муж ел и смаковал.
Харчо с говядиной, 300 г	Очень вкусный суп. Большая порция.
Смузи «Спортивный фреш», 300 мл	Слишком водянистый,прям жидкий,как будто в фруктовое пюре добавили очень много воды
Бургер «Рваный Джо»	Самый не вкусный бургер из всех, что я когда-либо ела. Ингредиенты вообще не сочетаются, хотя кроме вкуса томатной пасты ничего распробовать невозможно.Вишенкой на торте стали совершенно сырые куски бекона, которые вообще не понятно зачем там нужны.Ну и приехал ледяным, хотя должен был быть горячим. Короче, деньги на ветер за такой отврат. Пришлось выкинуть, так как есть невозможно.
Вареники с творогом, 265 г	Очень вкусные  вареники
Картофельная вафля с беконом и яйцом	После прочтения отзывов заказывала с опаской, но опасения у меня не подтвердились- мне понравилось.Яйцо, конечно, и близко не как на картинке по объему, а обычная плоская глазунья из одного яйца, но и этого достаточно.Бекона и творожного сыра тоже хватило, и вафля удалась.
Глазунья из трех яиц	Внезапный укроп. Но всё равно хорошо пошло.
Мама бургер с голубым сыром и вишневым вареньем	Невкусный.
Перепече с курицей и грибами	Тесто немного подмокло снизу,но это неизбежно !в такую погоду и транспортировке горячего ,песочного теста!Вкусно,мне понравилось.
Сырники творожные со сметаной	Каждый раз все вкуснее ! Воздушные, легкие, просто потрясающие !!
Котлета из щуки (1 шт.) с картофельным пюре	Котлета вся разваливается, вкуса рыбы нет, только запах. Не вкусно! Картошка на вкус ненатуральная…
Лазанья Болоньезе	Ужас, жирная масляная субстанция , без вкуса , привезли в мятой упаковке , все слиплось в одну кучу . за почти 500 руб в ресторане проще заказать . порция мизерная
Курица «Карри» с рисом	Курица была жёсткой, и само блюдо было пресным
Картофельная вафля с лососем и яйцом	Вкусно!
Бургер с говядиной «Капрезе»	Такое себе. Есть можно, но любители бургеров разочаруются
Суп-крем тыквенный, 320 г	Не вкусно
Вок с морепродуктами	не очень понравился, было много моркови
Сырники с малиной и сметаной	сырники пришли без малины, совсем
Блинчики с печенью и яйцом	Действительно вкусные блинчики. Не жирные, не сухие. Сочные, свежие. Достаточное количество начинки. Только тесто блинов видимо нежное. Пока доехали выглядели не красиво.
Гречка с говядиной в сливочном соусе	Обожаю! Мясо есть!
Блинчики с печенью и яйцом	Иногда вкусные привозят, иногда сухие и не очень на вкус
Сок апельсиновый свежевыжатый, 300 мл	Очень вкусный!
Панкейки банановые с клубникой и сгущенным молоком	Супер сухо, для таких панкейков надо больше сгущенки раза в 2
Суп-гуляш с говядиной, 300 г	Очень расстроилась, когда открыла контейнер. Во всем супе не нашлось и кусочка говядины.
